año;rol_establecimiento;id_vu;nombre_establecimiento;razon_social;rut_razon_social;ciiu6;latitud;longitud;id_comuna;comuna;provincia;region;rubro_vu;entrada_salida;cantidad_toneladas; declaración_estimación ;tratamiento_nivel_3;id_tratamiento_nivel_3;tratamiento_nivel_1;id_tratamiento_nivel_1;capitulo_ler;subcapitulo_ler;nombre_ler;ler_codigo;id_vu_trazabilidad;nombre_establecimiento_trazabilidad;razon_social_trazabilidad;comuna_trazabilidad;id_comuna_trazabilidad;region_trazabilidad;
2022;Generador Municipal;911604;ILUSTRE MUNICIPALIDAD DE LA UNIÓN;I MUNICIPALIDAD DE LA UNION;69200800-6;Actividades de la administración pública en general;-40,2910189;-73,0810331;14201;La Unión;La Unión;Los Ríos;Otras actividades;2;5,32;declaración;Reciclaje;8;null;2;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 02 | Vidrio;Residuos de la extracción de minerales no metálicos;5453475;BODEGA DE ENVASES DE VIDRIO Y PLANTA DE RECICLADO DE VIDRIO;CRISTALERIAS TORO SPA;Maipú;13119;Metropolitana de Santiago;
2022;Generador Municipal;911604;ILUSTRE MUNICIPALIDAD DE LA UNIÓN;I MUNICIPALIDAD DE LA UNION;69200800-6;Actividades de la administración pública en general;-40,2910189;-73,0810331;14201;La Unión;La Unión;Los Ríos;Otras actividades;2;13690;declaración;Vertedero;12;null;3;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;03 | Otros residuos municipales;20 03 01 | Mezclas de residuos municipales;Residuos de la extracción de minerales metálicos;4587637;VERTEDERO DE MORROMPULLI Y EDIFICIO CONSISTORIAL;I MUNICIPALIDAD VALDIVIA;Valdivia;14101;Los Ríos;
2022;Generador Municipal;4085312;ILUSTRE MUNICIPALIDAD DE SAN JOAQUÍN;I MUNICIPALIDAD SAN JOAQUIN;69254600-8;Actividades de la administración pública en general;-33,47917671;-70,64153152;13129;San Joaquín;San Joaquín;Metropolitana de Santiago;Otras actividades;2;1,966;declaración;Co-procesamiento;23;null;8;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 39 | Plásticos;Plásticos;5465719;RECYCLING LAS INDUSTRIAS;RECYCLING S.A.;Lampa;13302;Metropolitana de Santiago;
2022;Generador Municipal;4085312;ILUSTRE MUNICIPALIDAD DE SAN JOAQUÍN;I MUNICIPALIDAD SAN JOAQUIN;69254600-8;Actividades de la administración pública en general;-33,47917671;-70,64153152;13129;San Joaquín;San Joaquín;Metropolitana de Santiago;Otras actividades;2;3,529;declaración;Preparación para reutilización;7;null;2;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 39 | Plásticos;Plásticos;5465719;RECYCLING LAS INDUSTRIAS;RECYCLING S.A.;Lampa;13302;Metropolitana de Santiago;
2022;Generador Municipal;4085312;ILUSTRE MUNICIPALIDAD DE SAN JOAQUÍN;I MUNICIPALIDAD SAN JOAQUIN;69254600-8;Actividades de la administración pública en general;-33,47917671;-70,64153152;13129;San Joaquín;San Joaquín;Metropolitana de Santiago;Otras actividades;2;2,64;declaración;Pretratamiento de aceites y grasas comestibles;40;null;35;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 25 | Aceites y grasas comestibles;Residuos procedentes del almacenamiento y preparación de combustible de centrales termoeléctricas de carbón;5459970;MAIPU- BIOILS;BIOILS SPA;Maipú;13119;Metropolitana de Santiago;
2022;Generador Municipal;4085312;ILUSTRE MUNICIPALIDAD DE SAN JOAQUÍN;I MUNICIPALIDAD SAN JOAQUIN;69254600-8;Actividades de la administración pública en general;-33,47917671;-70,64153152;13129;San Joaquín;San Joaquín;Metropolitana de Santiago;Otras actividades;2;20,737;declaración;Pretratamiento de aceites y grasas comestibles;40;null;35;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 25 | Aceites y grasas comestibles;Residuos procedentes del almacenamiento y preparación de combustible de centrales termoeléctricas de carbón;5466728;SOCIEDAD GENERAL RENDERING CHILE SA;SOCIEDAD GENERAL RENDERING CHILE LIMITADA;Lampa;13302;Metropolitana de Santiago;
2022;Generador Municipal;4085312;ILUSTRE MUNICIPALIDAD DE SAN JOAQUÍN;I MUNICIPALIDAD SAN JOAQUIN;69254600-8;Actividades de la administración pública en general;-33,47917671;-70,64153152;13129;San Joaquín;San Joaquín;Metropolitana de Santiago;Otras actividades;2;33,746;declaración;Pretratamiento de plásticos;45;null;35;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 39 | Plásticos;Plásticos;5467286;RECICLADOS INDUSTRIALES S A PLANTA RENCA;RECICLADOS INDUSTRIALES S.A;Renca;13128;Metropolitana de Santiago;
2022;Generador Municipal;4085312;ILUSTRE MUNICIPALIDAD DE SAN JOAQUÍN;I MUNICIPALIDAD SAN JOAQUIN;69254600-8;Actividades de la administración pública en general;-33,47917671;-70,64153152;13129;San Joaquín;San Joaquín;Metropolitana de Santiago;Otras actividades;2;2,049;declaración;Reciclaje;8;null;2;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 39 | Plásticos;Plásticos;5465719;RECYCLING LAS INDUSTRIAS;RECYCLING S.A.;Lampa;13302;Metropolitana de Santiago;
2022;Generador Municipal;4085312;ILUSTRE MUNICIPALIDAD DE SAN JOAQUÍN;I MUNICIPALIDAD SAN JOAQUIN;69254600-8;Actividades de la administración pública en general;-33,47917671;-70,64153152;13129;San Joaquín;San Joaquín;Metropolitana de Santiago;Otras actividades;2;120,141;declaración;Reciclaje de papel, cartón y productos de papel;16;null;8;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 01 | Papel y cartón;Residuos de la extracción de minerales metálicos;5459117;SOREPA CARLOS VALDOVINOS;SOC RECUPERADORA DE PAPEL SPA;San Joaquín;13129;Metropolitana de Santiago;
2022;Generador Municipal;4085312;ILUSTRE MUNICIPALIDAD DE SAN JOAQUÍN;I MUNICIPALIDAD SAN JOAQUIN;69254600-8;Actividades de la administración pública en general;-33,47917671;-70,64153152;13129;San Joaquín;San Joaquín;Metropolitana de Santiago;Otras actividades;2;2,015;declaración;Reciclaje de plásticos;18;null;8;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 39 | Plásticos;Plásticos;4586066;GARIBALDI S.A.;GARIBALDI S A;Quilicura;13125;Metropolitana de Santiago;
